,name,album,artist,release_date,duration,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
82,Punta cana,Punta cana,Gambino,2019-02-25,202004,52,0.431,0.873,0.786,0.0,0.0817,-4.991,0.312,132.027,4
83,RR 9.1,L' Affranchi,Koba LaD,2019-04-19,200506,66,0.0703,0.942,0.564,0.0,0.078,-6.293,0.407,126.069,4
84,Vroum Vroum,Vroum Vroum,Moha K,2021-03-26,186197,54,0.556,0.758,0.591,0.0,0.0847,-7.749,0.0444,116.992,4
85,La classe,Émotions,Jul,2016-07-04,191781,58,0.526,0.893,0.639,0.00177,0.121,-5.067,0.0382,130.062,4
86,DA,Dans la légende,PNL,2016-09-16,230013,70,0.325,0.715,0.682,4.2e-06,0.0928,-7.714,0.1,103.037,4
87,Fixette,Fixette,Ziak,2020-10-23,213594,0,0.168,0.864,0.692,0.0,0.0596,-5.206,0.366,145.015,4
88,Italia,La machine,Jul,2020-06-19,212840,65,0.628,0.859,0.805,3.58e-05,0.0995,-6.734,0.0446,136.037,4
89,Les gentils bandits,Les gentils bandits / Focus,Zkr,2022-02-18,220920,52,0.424,0.785,0.594,0.0,0.113,-8.159,0.294,115.839,4
90,En Haut,En Haut,Didi B,2022-08-20,172394,53,0.243,0.484,0.735,0.000129,0.172,-5.957,0.184,142.022,4
91,Galactic,Galactic,Maes,2023-01-05,134910,64,0.315,0.79,0.687,0.00107,0.348,-7.352,0.0685,146.05,4
92,Salé,Commando,Niska,2017-09-22,170266,0,0.391,0.763,0.604,0.0,0.272,-7.561,0.07,141.925,4
93,Mona Lisa,ULTRA,Booba,2021-03-04,187362,66,0.683,0.784,0.529,0.0,0.118,-7.681,0.0742,134.041,4
94,Salou,Salou,Gambino,2022-08-04,200479,58,0.317,0.95,0.843,0.0,0.143,-6.68,0.19,126.059,4
95,Pistol & Zamal,Chrome,Ziak,2023-02-23,145665,61,0.129,0.928,0.536,1.22e-06,0.0897,-9.171,0.359,101.974,4
96,Cellophané,Fantôme,Rim'K,2017-03-03,182137,56,0.223,0.764,0.672,0.0,0.116,-5.276,0.222,180.135,4
97,Papel,Papel,Rim'K,2021-08-26,212795,0,0.473,0.798,0.768,0.000597,0.065,-7.631,0.0994,129.932,4
98,Pochon bleu,Pochon bleu,Naps,2016-10-03,271998,36,0.723,0.813,0.722,0.0,0.138,-3.586,0.259,99.97,4
99,Urus,Urus,Favé,2022-10-12,148015,69,0.0505,0.697,0.759,6.48e-05,0.078,-5.929,0.329,161.985,4
